date,equity,cash,btc,price,fng
2020-01-01,10000.0,10000.0,0.0,7200.0,53
2020-01-02,10000.0,10000.0,0.0,7429.072983051326,41
2020-01-03,10000.0,10000.0,0.0,7527.468927332505,57
2020-01-04,10000.0,10000.0,0.0,7500.231945930529,52
2020-01-05,10000.0,10000.0,0.0,7884.44715426609,50
2020-01-06,10000.0,10000.0,0.0,7434.617132550333,51
2020-01-07,10000.0,10000.0,0.0,7545.790033447096,48
2020-01-08,10000.0,10000.0,0.0,7429.512922357403,59
2020-01-09,10000.0,10000.0,0.0,7484.64044855583,52
2020-01-10,10000.0,10000.0,0.0,7702.362030793924,59
2020-01-11,10000.0,10000.0,0.0,7411.69082345723,56
2020-01-12,10000.0,10000.0,0.0,7271.156965132038,47
2020-01-13,10000.0,10000.0,0.0,7329.734605586209,46
2020-01-14,10000.0,10000.0,0.0,7005.545431524403,47
2020-01-15,10000.0,10000.0,0.0,7370.244913858448,40
2020-01-16,10000.0,10000.0,0.0,7116.451558723758,51
2020-01-17,10000.0,10000.0,0.0,6853.539839908678,50
2020-01-18,10000.0,10000.0,0.0,6733.351372933049,44
2020-01-19,10000.0,10000.0,0.0,6409.466897357017,53
2020-01-20,10000.0,10000.0,0.0,6534.033473594601,50
2020-01-21,10000.0,10000.0,0.0,6489.375131151931,54
2020-01-22,10000.0,10000.0,0.0,6301.646105089406,58
2020-01-23,10000.0,10000.0,0.0,6249.128363792572,56
2020-01-24,10000.0,10000.0,0.0,6651.865472139517,54
2020-01-25,10000.0,10000.0,0.0,6687.790486358481,59
2020-01-26,10000.0,10000.0,0.0,6636.801454576043,45
2020-01-27,10000.0,10000.0,0.0,6706.9089901684565,43
2020-01-28,10000.0,10000.0,0.0,6672.748800048576,53
2020-01-29,10000.0,10000.0,0.0,6773.669250893189,46
2020-01-30,10000.0,10000.0,0.0,7166.493714608571,42
2020-01-31,10000.0,10000.0,0.0,7134.571021765791,38
2020-02-01,10000.0,10000.0,0.0,7457.722723479236,44
2020-02-02,10000.0,10000.0,0.0,7242.430606636449,37
2020-02-03,10000.0,10000.0,0.0,7684.883971095765,40
2020-02-04,10000.0,10000.0,0.0,7614.453233814353,38
2020-02-05,10000.0,10000.0,0.0,8026.600171444713,51
2020-02-06,10000.0,10000.0,0.0,8526.239881543672,46
2020-02-07,10000.0,10000.0,0.0,8638.271436456964,49
2020-02-08,10000.0,10000.0,0.0,8115.339480038167,47
2020-02-09,10000.0,10000.0,0.0,8095.852501821953,47
2020-02-10,10000.0,10000.0,0.0,7846.485373395718,40
2020-02-11,10000.0,10000.0,0.0,7420.632841476003,38
2020-02-12,10000.0,10000.0,0.0,7274.658657499429,39
2020-02-13,10000.0,10000.0,0.0,7666.484927293191,50
2020-02-14,10000.0,10000.0,0.0,8063.379713886112,51
2020-02-15,10000.0,10000.0,0.0,7825.811683951987,48
2020-02-16,10000.0,10000.0,0.0,8157.341672789668,52
2020-02-17,10000.0,10000.0,0.0,7708.640326229497,55
2020-02-18,10000.0,10000.0,0.0,8027.728830159063,60
2020-02-19,10000.0,10000.0,0.0,7987.191311149241,60
2020-02-20,10000.0,10000.0,0.0,8404.603435576346,67
2020-02-21,10000.0,10000.0,0.0,8550.42692003779,65
2020-02-22,10000.0,10000.0,0.0,8734.841462517335,71
2020-02-23,10000.0,10000.0,0.0,9128.22207695067,74
2020-02-24,10000.0,10000.0,0.0,8971.859476824267,70
2020-02-25,10000.0,10000.0,0.0,9146.229347460814,66
2020-02-26,10000.0,10000.0,0.0,8858.712677562571,68
2020-02-27,10000.0,10000.0,0.0,8481.067660359147,64
2020-02-28,10000.0,10000.0,0.0,8332.153174981857,60
2020-02-29,10000.0,10000.0,0.0,8778.72536894462,58
2020-03-01,10000.0,10000.0,0.0,9382.723511568443,67
2020-03-02,10000.0,10000.0,0.0,9670.634522949917,72
2020-03-03,10000.0,10000.0,0.0,9422.512152881742,68
2020-03-04,10000.0,10000.0,0.0,9063.549528830952,63
2020-03-05,10000.0,10000.0,0.0,9198.1451981661,61
2020-03-06,10000.0,10000.0,0.0,9120.870459354064,51
2020-03-07,10000.0,10000.0,0.0,9347.532258390687,50
2020-03-08,10000.0,10000.0,0.0,9004.314014235528,43
2020-03-09,10000.0,10000.0,0.0,8844.964594185814,48
2020-03-10,10000.0,10000.0,0.0,8445.647220529672,35
2020-03-11,10000.0,10000.0,0.0,8569.62376800819,46
2020-03-12,10000.0,10000.0,0.0,9686.073694716137,61
2020-03-13,10000.0,10000.0,0.0,9139.817592811729,57
2020-03-14,10000.0,10000.0,0.0,9004.985396649288,57
2020-03-15,10000.0,10000.0,0.0,9258.5693408688,57
2020-03-16,10000.0,10000.0,0.0,9293.34307215763,56
2020-03-17,10000.0,10000.0,0.0,8267.506612092891,52
2020-03-18,10000.0,10000.0,0.0,7829.182682760458,42
2020-03-19,10000.0,10000.0,0.0,7876.8470457661,34
2020-03-20,10000.0,10000.0,0.0,7715.884733145553,33
2020-03-21,10000.0,10000.0,0.0,7598.71300708001,30
2020-03-22,10000.0,10000.0,0.0,7400.845332943652,25
2020-03-23,10000.0,10000.0,0.0,8147.011566504432,27
2020-03-24,10000.0,10000.0,0.0,7800.211164821733,19
2020-03-25,10000.0,10000.0,0.0,7792.388464665132,20
2020-03-26,10000.0,10000.0,0.0,7580.04808420652,16
2020-03-27,10000.0,10000.0,0.0,8124.9431102444605,21
2020-03-28,10000.0,10000.0,0.0,8505.625592094562,27
2020-03-29,10000.0,10000.0,0.0,8618.882738297872,33
2020-03-30,10000.0,10000.0,0.0,8698.901283716064,31
2020-03-31,10000.0,10000.0,0.0,8337.281982236405,23
2020-04-01,10000.0,10000.0,0.0,8242.030919258108,21
2020-04-02,10000.0,10000.0,0.0,8097.075356134961,22
2020-04-03,10000.0,10000.0,0.0,7471.699622161231,21
2020-04-04,9999.5,9000.0,0.13263519832886395,7535.707056597282,15
2020-04-05,9998.349215730988,9000.0,0.13263519832886395,7527.030745305028,19
2020-04-06,9967.957247733339,9000.0,0.13263519832886395,7297.891207832519,17
2020-04-07,9964.437150318885,9000.0,0.13263519832886395,7271.351515060118,19
2020-04-08,9939.513216471247,9000.0,0.13263519832886395,7083.438094175875,18
2020-04-09,9927.351752329945,9000.0,0.13263519832886395,6991.747017489373,16
2020-04-10,9894.459910246926,8010.504534202018,0.2792083294012857,6747.489876411377,14
2020-04-11,9976.449809390408,7012.809668519692,0.4207966059956476,7042.927862639105,7
2020-04-12,10047.89024720652,6007.970401835706,0.5600191331837203,7213.896108162923,15
2020-04-13,10192.712897936246,6007.970401835706,0.5600191331837203,7472.4991489312015,19
2020-04-14,10152.151871640384,6007.970401835706,0.5600191331837203,7400.071219433026,21
2020-04-15,10281.04907300496,6007.970401835706,0.5600191331837203,7630.23692936474,18
2020-04-16,10431.017644451018,6007.970401835706,0.5600191331837203,7898.028800320083,30
2020-04-17,10395.175444071805,6007.970401835706,0.5600191331837203,7834.027057780594,31
2020-04-18,10335.153969139355,6007.970401835706,0.5600191331837203,7726.849514414843,36
2020-04-19,10751.953705632512,6007.970401835706,0.5600191331837203,8471.109329474446,43
2020-04-20,11099.644320507025,6007.970401835706,0.5600191331837203,9091.964215088596,52
2020-04-21,11013.980165303892,6007.970401835706,0.5600191331837203,8938.99773568256,60
2020-04-22,10808.725754264735,6007.970401835706,0.5600191331837203,8572.484524120873,49
2020-04-23,10789.339377668295,6007.970401835706,0.5600191331837203,8537.867177234477,44
2020-04-24,10588.903708515485,6007.970401835706,0.5600191331837203,8179.958567910136,39
2020-04-25,10758.825856877937,6007.970401835706,0.5600191331837203,8483.380608861557,51
2020-04-26,11123.297869367554,6007.970401835706,0.5600191331837203,9134.201252109204,53
2020-04-27,11300.575057114365,6007.970401835706,0.5600191331837203,9450.756843235144,52
2020-04-28,11294.094089140566,6007.970401835706,0.5600191331837203,9439.184081538677,52
2020-04-29,11461.059872978354,6007.970401835706,0.5600191331837203,9737.327080490486,55
2020-04-30,11371.48361177881,6007.970401835706,0.5600191331837203,9577.374936194452,51
2020-05-01,11162.536069534828,6007.970401835706,0.5600191331837203,9204.267072796798,48
2020-05-02,11634.418918228579,6007.970401835706,0.5600191331837203,10046.886227630112,50
2020-05-03,11586.01801268672,6007.970401835706,0.5600191331837203,9960.458992069964,64
2020-05-04,11833.06256636426,6007.970401835706,0.5600191331837203,10401.594908753896,69
2020-05-05,11956.269063308695,6007.970401835706,0.5600191331837203,10621.598993692927,68
2020-05-06,11794.313321723339,6007.970401835706,0.5600191331837203,10332.402193103928,64
2020-05-07,12009.718117552398,6007.970401835706,0.5600191331837203,10717.040472522132,63
2020-05-08,11714.632009461686,6007.970401835706,0.5600191331837203,10190.11899679836,68
2020-05-09,11500.612428101314,6007.970401835706,0.5600191331837203,9807.954230134646,61
2020-05-10,11654.43103765649,6007.970401835706,0.5600191331837203,10082.620934253688,68
2020-05-11,11241.238451559093,6007.970401835706,0.5600191331837203,9344.802239116634,66
2020-05-12,11342.926707992508,6007.970401835706,0.5600191331837203,9526.382207385424,61
2020-05-13,11596.296597447945,6007.970401835706,0.5600191331837203,9978.812980625304,66
2020-05-14,11400.457195463401,6007.970401835706,0.5600191331837203,9629.111710829053,69
2020-05-15,11052.288440907547,6007.970401835706,0.5600191331837203,9007.403033526352,60
2020-05-16,11350.092430014893,6007.970401835706,0.5600191331837203,9539.17770239226,57
2020-05-17,11235.84539795886,6007.970401835706,0.5600191331837203,9335.172115285734,50
2020-05-18,11789.560262581363,6007.970401835706,0.5600191331837203,10323.914877474275,58
2020-05-19,12374.837718274995,6007.970401835706,0.5600191331837203,11369.017483819736,64
2020-05-20,12503.284369081626,6007.970401835706,0.5600191331837203,11598.378666671486,68
2020-05-21,12643.177105918481,6007.970401835706,0.5600191331837203,11848.178590544734,62
2020-05-22,12865.633026866046,6007.970401835706,0.5600191331837203,12245.407734632896,68
2020-05-23,12974.819551298646,6007.970401835706,0.5600191331837203,12440.377009721538,66
2020-05-24,12652.669646943255,6007.970401835706,0.5600191331837203,11865.128977526709,61
2020-05-25,12652.570152236987,6007.970401835706,0.5600191331837203,11864.95131447848,69
2020-05-26,12761.67501799174,6007.970401835706,0.5600191331837203,12059.77477548148,61
2020-05-27,12603.93183489021,6007.970401835706,0.5600191331837203,11778.100143751031,65
2020-05-28,12604.988154737046,6007.970401835706,0.5600191331837203,11779.98636474643,59
2020-05-29,12551.137398854717,6007.970401835706,0.5600191331837203,11683.827586070089,55
2020-05-30,12876.397149078213,6007.970401835706,0.5600191331837203,12264.628724728313,60
2020-05-31,12844.214936295455,6007.970401835706,0.5600191331837203,12207.16245103191,59
2020-06-01,13207.080703068852,6007.970401835706,0.5600191331837203,12855.11489635373,58
2020-06-02,13293.71957905972,6007.970401835706,0.5600191331837203,13009.821889127928,65
2020-06-03,13566.279940053191,6007.970401835706,0.5600191331837203,13496.520190744804,63
2020-06-04,14109.825478948527,6007.970401835706,0.5600191331837203,14467.104063130144,68
2020-06-05,15272.702822101348,6007.970401835706,0.5600191331837203,16543.59980094867,62
2020-06-06,14626.57854547177,6007.970401835706,0.5600191331837203,15389.845869442172,63
2020-06-07,14277.48977904243,6007.970401835706,0.5600191331837203,14766.494369923284,64
2020-06-08,14950.775590623616,6007.970401835706,0.5600191331837203,15968.749385307388,63
2020-06-09,14909.63874260675,6007.970401835706,0.5600191331837203,15895.293237866492,65
2020-06-10,15039.130322723788,6007.970401835706,0.5600191331837203,16126.520302164949,69
2020-06-11,15409.909645276308,6007.970401835706,0.5600191331837203,16788.603614291504,65
2020-06-12,15145.604396142506,6007.970401835706,0.5600191331837203,16316.646080213655,60
2020-06-13,15294.279147269666,6007.970401835706,0.5600191331837203,16582.127636677524,65
2020-06-14,16732.826744742655,6007.970401835706,0.5600191331837203,19150.87486732091,71
2020-06-15,16959.29715905669,6007.970401835706,0.5600191331837203,19555.27250464188,66
2020-06-16,17715.717586308943,6007.970401835706,0.5600191331837203,20905.97711887887,65
2020-06-17,18217.246693303692,6007.970401835706,0.5600191331837203,21801.534211979502,62
2020-06-18,18741.750149401356,6007.970401835706,0.5600191331837203,22738.11552682825,66
2020-06-19,18244.072410702105,6007.970401835706,0.5600191331837203,21849.435642142987,67
2020-06-20,18768.379472568882,6007.970401835706,0.5600191331837203,22785.66626498989,69
2020-06-21,19143.496152818137,6007.970401835706,0.5600191331837203,23455.49459409841,64
2020-06-22,18975.98518174312,6007.970401835706,0.5600191331837203,23156.37807977021,62
2020-06-23,19305.230077692006,6007.970401835706,0.5600191331837203,23744.29530694979,69
2020-06-24,19806.106264729002,6007.970401835706,0.5600191331837203,24638.686511388656,64
2020-06-25,19682.785208244346,6007.970401835706,0.5600191331837203,24418.477862831285,60
2020-06-26,19197.05535705263,6007.970401835706,0.5600191331837203,23551.132762619563,66
2020-06-27,19950.661086772874,6007.970401835706,0.5600191331837203,24896.81130298653,68
2020-06-28,19072.182259001907,6007.970401835706,0.5600191331837203,23328.15270595468,69
2020-06-29,19103.458958936222,6007.970401835706,0.5600191331837203,23384.00204766647,58
2020-06-30,20007.431795291526,6007.970401835706,0.5600191331837203,24998.18410465477,67
