date,side,fng,price,qty,notional
2020-04-04,BUY,15,7535.707056597282,0.13263519832886395,1000.0
2020-04-10,BUY,14,6747.489876411377,0.14657313107242173,989.4954657979824
2020-04-11,BUY,7,7042.927862639105,0.1415882765943619,997.694865682325
2020-04-12,BUY,15,7213.896108162923,0.13922252718807268,1004.8392666839862
2020-12-26,BUY,13,41362.82997386084,0.0704916966149412,2917.194658982286
2021-03-15,BUY,15,51345.2749261577,0.06903613902144257,3546.4527642785515
2021-03-16,BUY,9,49289.90974621762,0.06899569839971173,3402.492993495791
2021-03-17,BUY,6,48063.00244470369,0.06879253531346623,3308.0298078524183
2021-03-18,BUY,9,44962.16004747189,0.06776133182871849,3048.219956691037
2021-03-19,BUY,5,44099.086298515205,0.06731355031193256,2969.951039785252
2021-03-20,BUY,6,48565.72493250368,0.07005848096979259,3404.1429874617215
2021-03-21,BUY,9,47567.76865510153,0.06933873711486477,3299.9389754044914
2021-03-22,BUY,6,46630.286132881134,0.06849510221574,3195.5439870144037
2021-03-23,BUY,7,46844.45020577042,0.06871788870785236,3220.662046844086
2021-03-24,BUY,8,47147.269516923145,0.06907493544642115,3258.3237602366044
2021-03-25,BUY,8,48881.24791565539,0.07129466820661479,3486.7157095266953
2021-03-26,BUY,7,57149.4004230746,0.08106808541685194,4635.310130084728
2021-03-27,BUY,10,59508.94376836415,0.08367730906272287,4982.03929935128
2021-03-28,BUY,5,58742.0754694992,0.0827375802702367,4862.608488642313
2021-03-29,BUY,10,60893.41400467551,0.08559061691703429,5214.512126908006
2021-05-30,BUY,7,59030.08663315432,0.08285356999581273,4893.300064751317
2021-05-31,BUY,11,57987.100501796,0.08109408664796725,4704.7633342241415
2021-06-01,BUY,9,54852.44676356151,0.07494919847537812,4113.203521102835
2021-06-02,BUY,9,53472.04057690634,0.071819390076242,3842.250465598276
2021-06-03,BUY,3,52639.70838949717,0.06973811133652913,3672.83025951894
2021-06-04,BUY,0,51956.66507259803,0.06788818548937725,3529.0082199679673
2021-06-05,BUY,2,47007.61374354324,0.05218859845309995,2454.488722261331
2021-06-06,BUY,5,47768.54736597562,0.05489405722920864,2623.5211334307446
2021-06-07,BUY,0,48184.93981760649,0.05638443076564505,2718.2395228540336
2021-06-08,BUY,4,50771.41450029275,0.06539499730145862,3321.8574429593605
2021-06-09,BUY,0,49387.34435514381,0.060502659320625464,2989.5604504949283
2021-06-10,BUY,1,49903.13372680481,0.06241583607385909,3116.303966247241
2021-06-11,BUY,5,47927.91922161028,0.054593946193591,2617.8831847477413
2021-06-12,BUY,5,49817.118669084666,0.06228944718708952,3104.633098900371
2021-06-13,BUY,3,47963.36362594158,0.05449737037227676,2615.1847842152333
2021-06-14,BUY,4,43916.03136051936,0.03470153181785655,1524.7159175298134
2021-06-15,BUY,0,42530.87970001779,0.026947580779328826,1146.6776551597256
2021-06-16,BUY,0,45167.37421825727,0.04145028488458945,1873.1370973843166
2021-06-17,BUY,6,46182.8725261581,0.046684115504157526,2157.085097873885
2021-06-18,BUY,6,45742.63271122916,0.044395523275189815,2031.784007203435
2021-06-19,BUY,4,48703.40788681474,0.05924337461891723,2886.797637475231
2021-06-20,BUY,1,46141.25627604054,0.04617172954076032,2131.487349122815
2021-06-21,BUY,1,47767.637274154295,0.05478476551249979,2618.247931116246
2021-06-22,BUY,0,47109.631591437086,0.05129153535144476,2417.534101216342
2021-06-23,BUY,8,47404.6304757785,0.05289773895464101,2508.852194246074
2021-06-24,BUY,8,43904.13508137848,0.031989709822659515,1405.1831328345609
2021-06-25,BUY,13,46790.41613956702,0.04964893309432808,2324.2563685534087
2021-06-26,BUY,11,45285.87340050564,0.04055626876337847,1837.5448252278527
2021-06-28,BUY,11,46579.277946326016,0.048516801261679746,2261.0080750719776
2021-06-29,BUY,7,42736.08781128686,0.023006693165998886,983.7079133461347
2021-06-30,BUY,11,45354.32950717564,0.040985260240497604,1859.7888923310384
2021-07-01,BUY,13,44369.13845868858,0.03437581133855373,1525.9881269735342
2021-09-23,BUY,0,40123.80499059331,0.0018264839425720957,73.32214660351455
2021-09-24,BUY,2,40713.67803217772,0.006757444935483673,275.2580664566805
2021-09-25,BUY,5,42855.22353110431,0.023552137087513927,1009.8370180296363
2021-10-06,BUY,4,47727.608408469394,0.056387503676456514,2692.5869880950922
2021-10-07,BUY,13,50326.529555191344,0.0715906179041528,3604.709702679096
2021-10-08,BUY,11,53071.85365939936,0.08640241468831275,4587.830223268506
2021-10-09,BUY,10,51905.79036684109,0.08010269182997996,4159.873466679955
2022-01-16,BUY,15,66725.7185291308,0.145516073422305,9714.521817549828
2022-03-24,BUY,11,55911.77139396972,0.09838005806707119,5503.3549938684855
2022-03-25,BUY,13,57291.0179236049,0.10561282390883925,6053.693034040858
2022-03-26,BUY,7,55181.15406633572,0.09398549163074618,5188.822304828926
2022-03-27,BUY,12,60487.51471601763,0.1224903839630887,7412.8453252005775
2022-03-28,BUY,10,60307.17747242124,0.12156108467457692,7334.673243831651
2022-03-29,BUY,7,54530.94975990253,0.08746799397312269,4772.098834364992
2022-03-30,BUY,14,53183.98150128438,0.0782286627578697,4162.593049509512
2022-03-31,BUY,5,49077.83883616317,0.04629006565550547,2272.952858385502
2022-04-01,BUY,6,52011.478799116965,0.06987896944495123,3636.326701140794
2022-04-02,BUY,9,51850.634966881735,0.0686295226614472,3560.264459699887
2022-04-03,BUY,3,51127.16849692638,0.06282782036117354,3213.815465633158
2022-04-04,BUY,8,49643.47454556589,0.050217056309543165,2494.196254783447
2022-04-05,BUY,14,49985.39107448368,0.053220682169451576,2661.5874051934343
2022-04-06,BUY,6,49722.74104382538,0.05088436558118188,2531.3758208828895
2022-04-09,BUY,10,47036.65288324169,0.02522907922051736,1187.2850844014815
2022-04-10,BUY,11,49179.0037467098,0.046023861813431384,2264.539942532062
2022-04-12,BUY,8,45901.41659540262,0.013090142644866886,601.1566691698653
2022-04-13,BUY,6,45050.80516953435,0.0037351393458406276,168.35521255680652
2022-08-08,BUY,12,102112.47052826722,0.2860248456062877,29221.314274461463
2022-08-09,BUY,11,108821.99832513036,0.3015153867241298,32827.92086952905
2022-08-11,BUY,15,117519.83825043708,0.32119630648145153,37765.82089478539
2022-08-13,BUY,15,112088.6498196761,0.30768357572674276,34505.08911946039
2022-08-14,BUY,10,112171.53568464276,0.30790672162711863,34555.64763635588
2022-08-27,BUY,14,88137.97787605827,0.21153649207883352,18653.725521583994
2022-08-28,BUY,15,86994.36033344617,0.20533592184539592,17872.003176006718
2022-09-01,BUY,9,77008.11591058913,0.14079888129177684,10848.080610903882
2022-09-02,BUY,9,70583.14543200364,0.08834212741539205,6238.58451939291
2022-09-03,BUY,11,68270.24275706137,0.06674063629119588,4558.678780751058
2022-09-04,BUY,8,64977.45018231085,0.03299956105940779,2145.2999847681785
2022-09-05,BUY,8,65340.806273502334,0.03690609525668282,2412.680360658665
2022-09-06,BUY,10,65862.63016676341,0.04247068934139707,2798.630620330101
2022-12-12,BUY,13,69650.47339529077,0.08060536023499,5617.010003566783
2022-12-13,BUY,15,70160.54170038567,0.08548081400274496,6000.380405625311
2022-12-14,BUY,10,67799.41855601515,0.061974881452846235,4203.96290903546
2022-12-15,BUY,11,69329.51122696656,0.07752103604882139,5377.184131138411
2022-12-16,BUY,11,66210.44579964029,0.044694420222834555,2960.7178466336513
2022-12-20,BUY,14,66121.02438454215,0.04369947442479472,2890.8994637654105
2022-12-21,BUY,12,67143.28545266693,0.05495477527247813,3691.6900081112167
2022-12-22,BUY,9,68319.84706309826,0.06758636149836446,4619.799781010038
2023-04-17,BUY,14,134894.89313503806,0.42675979368342476,57596.515020766856
2023-04-18,BUY,7,140336.3953074577,0.44268517727012086,62155.91999412872
2023-04-19,BUY,4,134048.33073478463,0.42204244210681285,56602.38605667858
2023-04-20,BUY,0,138479.2181168069,0.4380969240608188,60697.66833748906
2023-04-21,BUY,4,143783.3030822387,0.45763183783937467,65832.7336069442
2023-04-22,BUY,6,151398.12900379722,0.48559168611394965,73554.44996243237
2023-04-23,BUY,7,149808.4654713154,0.4794454290990075,71860.91446779257
2023-04-24,BUY,7,144779.0073137613,0.4575013666453938,66269.72857189522
2023-04-25,BUY,1,136544.3060817377,0.4153433831581312,56741.144611273965
2023-04-26,BUY,2,139953.2750596099,0.43437868067967855,60823.13054246474
2023-04-27,BUY,4,148747.94703459446,0.48205387005029554,71740.3937269261
2023-04-28,BUY,14,146764.9059937121,0.47112278281478576,69178.88037149383
2023-04-30,BUY,12,158416.73302530102,0.5347395351081492,84754.0672049037
2023-05-02,BUY,15,159291.57879024342,0.5394089803633986,85966.29124134184
2023-08-22,BUY,15,236295.3781708738,0.8340825074982079,197188.43575287616
2023-08-23,BUY,11,231447.39778341545,0.8195243161523952,189771.65622181585
2023-08-24,BUY,15,252861.1728036604,0.8863428916777808,224233.8200058343
2023-09-23,BUY,11,192909.99107708296,0.6341763026640088,122400.14496069176
2023-09-24,BUY,6,183458.58148620784,0.5760933939287881,105742.14792771447
2023-09-25,BUY,9,178504.02536949876,0.5415784473719212,96722.29405627931
2023-09-26,BUY,3,158446.85530536147,0.3730501247605201,59138.18823369402
2023-09-27,BUY,8,161133.3495675707,0.39865585419045474,64268.88755420614
2023-09-28,BUY,0,154570.4089551638,0.3327745617999587,51462.831523056564
2023-09-29,BUY,0,141084.78685844466,0.17501305301720727,24704.031298027374
2023-09-30,BUY,6,138727.5477760126,0.1439847773437357,19984.647401672464
2023-10-01,BUY,3,144425.72776728685,0.2177949254971614,31470.926081990547
2023-10-02,BUY,0,142209.01927558845,0.18943110518773093,26952.287832954527
2023-10-03,BUY,1,142427.25325826573,0.1922811595438914,27399.777295798718
2023-10-04,BUY,6,143065.8024937134,0.2006741878008176,28723.975705350796
2023-10-05,BUY,5,149941.480383176,0.2875269261852419,43133.779852165426
2023-10-06,BUY,1,146776.6215473802,0.24792068350627383,36407.16391872754
2023-10-07,BUY,3,152554.31414593433,0.31988730508437346,48824.6007315036
2023-10-08,BUY,6,162335.9125672344,0.4319790103973628,70160.78725637491
2023-10-09,BUY,5,155987.70175154452,0.35904346414493726,56034.38199187778
2023-10-10,BUY,0,149832.6673906974,0.28095603729863655,42117.45121358177
2023-10-11,BUY,8,144387.60698888902,0.2052695650467319,29653.20788869206
2023-10-12,BUY,0,159820.97748972295,0.40832132619102995,65290.95896123103
2023-10-13,BUY,4,155887.03477545045,0.35932850543671074,56042.67656110372
2023-10-14,BUY,0,167894.02037725574,0.5041642457235652,84688.50639819512
2023-10-15,BUY,2,166217.7702376457,0.4846649870800173,80600.23358148859
2023-10-16,BUY,4,168917.27961164384,0.5165872219480517,87304.16029374824
2023-10-17,BUY,6,165156.57360505543,0.4705942782139604,77760.61885739058
2023-10-18,BUY,12,171796.25603645612,0.5521863423718796,94911.00175483106
2023-10-19,BUY,11,168673.62926552628,0.5135532073936362,86666.21642024624
