date,side,fng,price,qty,notional
2020-03-22,BUY,25,7400.845332943652,0.06752606999844257,500.0
2020-03-24,BUY,19,7800.211164821733,0.0642399547560509,501.3358802559193
2020-03-25,BUY,20,7792.388464665132,0.06429622636517808,501.2718085537888
2020-03-26,BUY,16,7580.04808420652,0.06582123038351836,499.1776801087588
2020-03-27,BUY,21,8124.9431102444605,0.06228314390002719,506.3001509903854
2020-03-31,BUY,23,8337.281982236405,0.06110795925755573,509.72915226538845
2020-04-01,BUY,21,8242.030919258108,0.061590108380317365,507.88151835020875
2020-04-02,BUY,22,8097.075356134961,0.06229134693016512,504.63004515126886
2020-04-03,BUY,21,7471.699622161231,0.0653736651795095,488.6967377899309
2020-04-04,BUY,15,7535.707056597282,0.065060645762426,490.52322899318625
2020-04-05,BUY,19,7527.030745305028,0.06509716799257886,490.2335016632592
2020-04-06,BUY,17,7297.891207832519,0.06603367598473686,482.14765721848175
2020-04-07,BUY,19,7271.351515060118,0.06613245294367075,481.11286834077265
2020-04-08,BUY,18,7083.438094175875,0.06677568344972327,473.2380389318653
2020-04-09,BUY,16,6991.747017489373,0.06705747901879455,469.0834706653457
2020-04-10,BUY,14,6747.489876411377,0.067727152503878,457.2168843202463
2020-04-11,BUY,7,7042.927862639105,0.06706138941242437,472.54480040025476
2020-04-12,BUY,15,7213.896108162923,0.06677973276938881,481.9830458521801
2020-04-13,BUY,19,7472.4991489312015,0.06649446973940844,497.12843275273747
2020-04-14,BUY,21,7400.071219433026,0.06653769560723528,492.63000127113264
2020-04-15,BUY,18,7630.23692936474,0.0664966879663232,507.63930385300966
2020-08-09,BUY,24,24386.04531460509,0.06791038010817319,1656.8940536768057
2020-08-27,BUY,18,22433.102925051597,0.06755697140754822,1516.2706282043994
2020-09-17,BUY,21,26481.77196551701,0.0687431388681924,1821.350803102892
2020-09-29,BUY,24,23732.731916904024,0.06758089814803171,1604.6816792904774
2020-10-01,BUY,23,24188.527647551484,0.06785354064808047,1642.0982930969012
2020-10-02,BUY,21,23705.70484884377,0.0674918141588122,1600.7413968602468
2020-10-03,BUY,20,25477.563288667377,0.068979202956365,1758.3011595023725
2020-10-08,BUY,18,25427.720239795028,0.06893166635679786,1753.651953760427
2020-10-09,BUY,17,25843.54706168393,0.06936218453194475,1793.4616110580482
2020-10-10,BUY,19,26400.218034189227,0.06999090849338618,1848.6995944335986
2020-10-11,BUY,18,24134.516477806003,0.06691289969928929,1615.7183395400477
2020-10-12,BUY,21,24365.86795918754,0.06728333744985365,1640.2370346739292
2020-10-13,BUY,23,23635.43907880664,0.06597804469551208,1560.200156017566
2020-10-14,BUY,23,25063.039663352534,0.06864129531515642,1721.2201170862027
2020-10-18,BUY,25,23624.21081988781,0.06574341351987834,1553.913217621479
2020-12-26,BUY,13,41362.82997386084,0.08878652075198203,3674.298911290545
2020-12-27,BUY,24,43487.94221450214,0.09050099894578081,3937.671048032851
2020-12-28,BUY,24,40737.75645479676,0.08793752231716982,3584.1694521211803
2021-01-16,BUY,23,46288.96222976506,0.0933195578380944,4321.82640126656
2021-03-12,BUY,25,54614.5518824885,0.10005190006154306,5467.023198451924
2021-03-13,BUY,21,54687.09511466437,0.10010570443476599,5477.228794341698
2021-03-14,BUY,20,54266.68926638646,0.09973602879418852,5415.0516090421215
2021-03-15,BUY,15,51345.2749261577,0.09673223685680737,4969.227909589774
2021-03-16,BUY,9,49289.90974621762,0.09420336234693588,4645.598026884147
2021-03-17,BUY,6,48063.00244470369,0.09246966449737096,4446.593007301722
